# Skyview Financial Group - Bing AI Performance export
# Captured: 2026-08-12
# Source: Bing Webmaster Tools > AI Performance (BETA). Citation sources: Microsoft Copilots and Partners
# Reporting window: 2026-05-12 to 2026-08-10 (rolling ~90 days; BWT "6 M" returns ~90 days only)
# Total citations: 40   Avg cited pages: 0   Grounding query rows: 1
section,item,intent,topic,citations,citation_share
summary,Total citations,,,40,
summary,Avg cited pages,,,0,
page,https://skyviewfg.com/services.html,,,16,
page,https://skyviewfg.com/blog/pre-liquidity-planning-checklist.html,,,12,
page,https://skyviewfg.com/blog/hsa-shoebox-strategy.html,,,6,
page,https://skyviewfg.com/who-we-serve.html,,,4,
page,https://skyviewfg.com/,,,2,
grounding_query,Pre-IPO liquidity planning checklist,not labelled,not labelled,9,45.00%
daily,2026-05-12,,,0,
daily,2026-05-13,,,1,
daily,2026-05-14,,,0,
daily,2026-05-15,,,0,
daily,2026-05-16,,,0,
daily,2026-05-17,,,0,
daily,2026-05-18,,,0,
daily,2026-05-19,,,0,
daily,2026-05-20,,,0,
daily,2026-05-21,,,0,
daily,2026-05-22,,,1,
daily,2026-05-23,,,2,
daily,2026-05-24,,,0,
daily,2026-05-25,,,0,
daily,2026-05-26,,,0,
daily,2026-05-27,,,0,
daily,2026-05-28,,,0,
daily,2026-05-29,,,0,
daily,2026-05-30,,,0,
daily,2026-05-31,,,0,
daily,2026-06-01,,,0,
daily,2026-06-02,,,0,
daily,2026-06-03,,,0,
daily,2026-06-04,,,0,
daily,2026-06-05,,,0,
daily,2026-06-06,,,0,
daily,2026-06-07,,,0,
daily,2026-06-08,,,0,
daily,2026-06-09,,,0,
daily,2026-06-10,,,0,
daily,2026-06-11,,,0,
daily,2026-06-12,,,0,
daily,2026-06-13,,,0,
daily,2026-06-14,,,0,
daily,2026-06-15,,,0,
daily,2026-06-16,,,0,
daily,2026-06-17,,,3,
daily,2026-06-18,,,0,
daily,2026-06-19,,,0,
daily,2026-06-20,,,0,
daily,2026-06-21,,,1,
daily,2026-06-22,,,1,
daily,2026-06-23,,,0,
daily,2026-06-24,,,0,
daily,2026-06-25,,,0,
daily,2026-06-26,,,1,
daily,2026-06-27,,,1,
daily,2026-06-28,,,0,
daily,2026-06-29,,,0,
daily,2026-06-30,,,0,
daily,2026-07-01,,,0,
daily,2026-07-02,,,3,
daily,2026-07-03,,,0,
daily,2026-07-04,,,2,
daily,2026-07-05,,,0,
daily,2026-07-06,,,0,
daily,2026-07-07,,,3,
daily,2026-07-08,,,0,
daily,2026-07-09,,,0,
daily,2026-07-10,,,1,
daily,2026-07-11,,,0,
daily,2026-07-12,,,0,
daily,2026-07-13,,,0,
daily,2026-07-14,,,0,
daily,2026-07-15,,,0,
daily,2026-07-16,,,0,
daily,2026-07-17,,,0,
daily,2026-07-18,,,0,
daily,2026-07-19,,,0,
daily,2026-07-20,,,0,
daily,2026-07-21,,,4,
daily,2026-07-22,,,0,
daily,2026-07-23,,,2,
daily,2026-07-24,,,0,
daily,2026-07-25,,,0,
daily,2026-07-26,,,0,
daily,2026-07-27,,,0,
daily,2026-07-28,,,0,
daily,2026-07-29,,,0,
daily,2026-07-30,,,0,
daily,2026-07-31,,,0,
daily,2026-08-01,,,0,
daily,2026-08-02,,,0,
daily,2026-08-03,,,0,
daily,2026-08-04,,,0,
daily,2026-08-05,,,0,
daily,2026-08-06,,,0,
daily,2026-08-07,,,2,
daily,2026-08-08,,,0,
daily,2026-08-09,,,0,
daily,2026-08-10,,,12,
